row,sid,casrn,name,Spread,Sick,PctCases,Cases,CountyCaseRate,StateCaseRate,PctDeaths,Deaths,PctDeaths2,CountyDeathRate,StateDeathRate,StatePctTested,StateTestRate,SVISocioeconomic,SVIMinority,SVIHousing,PctBeds,Mobility,PctNoIns,PctGE65,DaytimePopDensity,PrematureDeath,Smoking,AirPollution,Diabetes,Traffic,DistancingGrade,Obesity,PctBlack,PctNative
1,"-86.6441,32.5395",1001,"Alabama, Autauga",0.154036499,8.956673441,0.058146436,3233,1.011757558,1.010944546,0.01299103,42,0.000755382,1,1.007566022,0.347071148,1.004404821,0.3631,0.5947,0.3741,0.001528749,1733.08,7.1,14.6,76,8128.59119,0.180815572,11.7,0.111,88.45704042,5,0.333,0.193431773,0.004802072
2,"-87.7221,30.7277",1003,"Alabama, Baldwin",0.167413481,8.054233059,0.048109824,10489,1.012341148,1.010944546,0.013442654,141,0.000646724,1.003077039,1.007566022,0.347071148,1.004404821,0.2232,0.4358,0.3359,0.001522782,1971.57,10.2,19.5,121,7354.12253,0.174890326,10.3,0.107,86.99742988,5,0.31,0.087839759,0.007723991
3,"-85.3871,31.8683",1005,"Alabama, Barbour",0.071993671,3.657409268,0.050801817,1264,1.005192067,1.010944546,0.023734177,30,0.001205739,1.004854825,1.007566022,0.347071148,1.004404821,0.978,0.8558,0.9889,0.002974157,1080.54,11.2,18,27.5,10253.5734,0.219999845,11.5,0.176,102.2917622,3.7,0.417,0.480326353,0.006591375
4,"-87.1251,32.9964",1007,"Alabama, Bibb",0.156652361,9.776785714,0.062410714,1398,1.01233858,1.010944546,0.028612303,40,0.001785714,1.007354526,1.007566022,0.347071148,1.004404821,0.7694,0.4323,0.7189,0.0015625,1272.47,7.9,16.3,28.9,11977.53948,0.191141999,11.2,0.145,29.33558001,4,0.376,0.211205357,0.004375
5,"-86.5679,33.9821",1009,"Alabama, Blount",0.202293202,12.81120332,0.063329876,3663,1.015857884,1.010944546,0.012831013,47,0.000812586,1.003077039,1.007566022,0.347071148,1.004404821,0.6143,0.5915,0.1741,0.000691563,1395.46,11,17.8,71.7,11335.07113,0.19208672,11.7,0.17,33.41178196,4.3,0.338,0.014626556,0.00653527
6,"-85.7127,32.1003",1011,"Alabama, Bullock",0.037344398,2.663247189,0.071315841,723,1.001991667,1.010944546,0.027662517,20,0.001972776,1,1.007566022,0.347071148,1.004404821,0.9771,0.6749,0.765,0.006016966,991.59,10.8,15.6,15.6,11679.55898,0.22894664,11.2,0.237,4.0665382,3,0.372,0.695403433,0.008384297
7,"-86.6806,31.753",1013,"Alabama, Butler",0.096198604,6.300813008,0.065497967,1289,1.007301654,1.010944546,0.034134988,44,0.002235772,1.006667848,1.007566022,0.347071148,1.004404821,0.8455,0.6447,0.6259,0.004776423,1042.91,10.2,19,25.1,14359.9391,0.21765335,10.6,0.192,19.3110679,3.7,0.433,0.445579268,0.003760163
8,"-85.8263,33.7748",1015,"Alabama, Calhoun",0.177200313,11.87465544,0.06701261,7658,1.012360189,1.010944546,0.016845129,129,0.001128836,1.002234681,1.007566022,0.347071148,1.004404821,0.7866,0.6507,0.6492,0.004830368,1573.18,9.4,16.8,193.1,12078.61615,0.206125604,11.8,0.175,109.8991631,5,0.385,0.208502148,0.005399162
9,"-85.3907,32.9136",1017,"Alabama, Chambers",0.107971746,6.366205563,0.058961773,1982,1.005978712,1.010944546,0.027749748,55,0.001636174,1.002624744,1.007566022,0.347071148,1.004404821,0.6901,0.4597,0.7943,0.003421092,1190.48,10.8,18.9,46.7,11112.53661,0.193929271,11.4,0.199,20.27158691,4,0.401,0.395656701,0.003064108
10,"-85.6064,34.1781",1019,"Alabama, Cherokee",0.124250214,5.570067609,0.044829441,1167,1.009798935,1.010944546,0.020565553,24,0.000921942,1,1.007566022,0.347071148,1.004404821,0.6879,0.2751,0.2741,0.002304856,1292.06,8.3,21.7,37,12349.70759,0.174986738,11.4,0.152,25.90888704,4,0.35,0.042409342,0.006607253
